      No     Day     Mon    Year  Qobs_0000000398  Qsim_0000000398  Qobs_0000000333  Qsim_0000000333
     332      28      11    1990      180.0000000     2425.4067608     2210.0000000     2386.1174991
     333      29      11    1990      161.0000000     2265.2907793     2060.0000000     2226.6056288
     334      30      11    1990      149.0000000     2126.3921633     1940.0000000     2091.8474236
     335       1      12    1990      134.0000000     1985.5355208     1820.0000000     1954.4597045
     336       2      12    1990      113.0000000     1868.3671358     1720.0000000     1841.0503884
     337       3      12    1990       99.0000000     1756.2114364     1620.0000000     1730.4247987
     338       4      12    1990      107.0000000     1655.8647361     1530.0000000     1632.1201616
     339       5      12    1990       99.0000000     1594.3336908     1480.0000000     1575.1952878
     340       6      12    1990       89.0000000     1556.0338122     1450.0000000     1539.5519260
     341       7      12    1990       77.0000000     1493.5371352     1390.0000000     1474.9432831
     342       8      12    1990       71.0000000     1429.2079367     1330.0000000     1411.1534015
     343       9      12    1990       68.0000000     1368.5578572     1270.0000000     1348.0095773
     344      10      12    1990       73.0000000     1303.5842130     1210.0000000     1285.3686602
     345      11      12    1990       84.0000000     1268.0956343     1180.0000000     1253.1335716
     346      12      12    1990       88.0000000     1299.2666646     1190.0000000     1271.9499945
     347      13      12    1990       92.0000000     1333.0004097     1220.0000000     1304.0782485
     348      14      12    1990      128.0000000     1308.7333082     1200.0000000     1280.0818031
     349      15      12    1990      136.0000000     1289.1660840     1190.0000000     1266.2107657
     350      16      12    1990      114.0000000     1273.9266366     1180.0000000     1253.3428934
     351      17      12    1990      101.0000000     1214.3362914     1120.0000000     1190.9735773
     352      18      12    1990       93.0000000     1159.9908487     1070.0000000     1138.9872822
     353      19      12    1990       85.0000000     1143.4736088     1060.0000000     1127.2972703
     354      20      12    1990       81.0000000     1127.6188863     1040.0000000     1105.8379389
     355      21      12    1990      106.0000000     1168.8056302     1040.0000000     1123.0287798
     356      22      12    1990      159.0000000     1198.1327107     1040.0000000     1135.6718383
     357      23      12    1990      250.0000000     1250.5228431     1090.0000000     1201.7640997
     358      24      12    1990      298.0000000     1344.0654604     1200.0000000     1305.6898786
     359      25      12    1990      261.0000000     1539.3054610     1320.0000000     1500.9229298
     360      26      12    1990      228.0000000     1758.5028126     1410.0000000     1689.3495165
     361      27      12    1990      409.0000000     1907.8836309     1510.0000000     1838.5549154
     362      28      12    1990      486.0000000     2077.5586941     1680.0000000     2006.2860332
     363      29      12    1990      440.0000000     2510.5098008     1970.0000000     2414.5046452
     364      30      12    1990      486.0000000     2908.6195327     2190.0000000     2823.5590562
     365      31      12    1990      774.0000000     3324.5540562     2440.0000000     3234.3972711
     366       1       1    1991      889.0000000     3779.2133591     2950.0000000     3692.6983244
     367       2       1    1991      863.0000000     4170.3390931     3300.0000000     4036.4730293
     368       3       1    1991      875.0000000     4392.2857437     3520.0000000     4193.8103737
     369       4       1    1991      932.0000000     4425.9454746     3700.0000000     4258.5020317
     370       5       1    1991      826.0000000     4393.3176865     3710.0000000     4216.1569634
     371       6       1    1991      731.0000000     4249.0147991     3620.0000000     4088.3533714
     372       7       1    1991      613.0000000     4053.9593389     3430.0000000     3916.3870541
